Date,Price
11/24/2020,109.8
11/25/2020,109.9
11/26/2020,109.9
11/27/2020,110.05
11/30/2020,110.1
12/1/2020,110.25
12/2/2020,110.6
12/3/2020,110.9
12/4/2020,110.9
12/7/2020,111.4
12/8/2020,111.45
12/9/2020,111.4
12/10/2020,111.5
12/11/2020,111.5
12/14/2020,111.6
12/15/2020,111.6
12/16/2020,111.6
12/17/2020,111.6
12/18/2020,111.4
12/21/2020,111.05
12/22/2020,109.3
12/23/2020,108.8
12/24/2020,108.7
12/25/2020,108.7
12/28/2020,108.8
12/29/2020,109.05
12/30/2020,109.25
12/31/2020,109.2
1/1/2021,109.2
1/4/2021,109.3
1/5/2021,109.4
1/6/2021,109.5
1/7/2021,109.55
1/8/2021,109.55
1/11/2021,109.55
1/12/2021,109.7
1/13/2021,110
1/14/2021,109.95
1/15/2021,110.1
1/18/2021,110.1
1/19/2021,110.2
1/20/2021,110.2
1/21/2021,109.8
1/22/2021,110
1/25/2021,110.1
1/26/2021,110.1
1/27/2021,110.17
1/28/2021,110.15
1/29/2021,110.15
2/1/2021,110.15
2/2/2021,110
2/3/2021,109.9
2/4/2021,109.8
2/5/2021,109.65
2/8/2021,109.65
2/9/2021,109.55
2/10/2021,109.45
2/11/2021,109.45
2/12/2021,109.45
2/15/2021,109.45
2/16/2021,109.45
2/17/2021,109.55
2/18/2021,109.55
2/19/2021,109.6
2/22/2021,109.6
2/23/2021,109.7
2/24/2021,109.8
2/25/2021,109.8
2/26/2021,109.8
3/1/2021,109.8
3/2/2021,109.8
3/3/2021,109.7
3/4/2021,109.65
3/5/2021,109.65
3/8/2021,109.65
3/9/2021,109.65
3/10/2021,109.65
3/11/2021,109.65
3/12/2021,109.65
3/15/2021,109.65
3/16/2021,109.7
3/17/2021,109.8
3/18/2021,109.85
3/19/2021,109.85
3/22/2021,109.85
3/23/2021,109.85
3/24/2021,109.8
3/25/2021,109.75
3/26/2021,109.75
3/29/2021,109.7
3/30/2021,109.5
3/31/2021,109.35
4/1/2021,108.9
4/2/2021,108.9
4/5/2021,108.9
4/6/2021,108.6
4/7/2021,108.25
4/8/2021,108
4/9/2021,107.3
4/12/2021,107.1
4/13/2021,106.9
4/14/2021,106.8
4/15/2021,107.05
4/16/2021,107.5
4/19/2021,108
4/20/2021,108.1
4/21/2021,108.45
4/22/2021,108.55
4/23/2021,108.55
4/26/2021,108.1
4/27/2021,107.8
4/28/2021,107.85
4/29/2021,107.85
4/30/2021,107.85
5/3/2021,107.7
5/4/2021,107.25
5/5/2021,107
5/6/2021,106.8
5/7/2021,106.7
5/10/2021,106.55
5/11/2021,106.5
5/12/2021,107
5/13/2021,107.2
5/14/2021,107.2
5/17/2021,107.3
5/18/2021,107.5
5/19/2021,107.85
5/20/2021,108.25
5/21/2021,108.25
5/24/2021,108
5/25/2021,107.7
5/26/2021,107.6
5/27/2021,107.5
