Date, Close
8/26/2020,11.25
8/27/2020,11.5
8/28/2020,11.5
8/31/2020,11.9
9/1/2020,11.85
9/2/2020,11.9
9/3/2020,11.9
9/4/2020,11.6
9/7/2020,11.6
9/8/2020,11.5
9/9/2020,11.65
9/10/2020,11.45
9/11/2020,11.5
9/14/2020,11.65
9/15/2020,11.7
9/16/2020,11.8
9/17/2020,11.95
9/18/2020,12
9/21/2020,11.9
9/22/2020,11.95
9/23/2020,11.95
9/24/2020,11.9
9/25/2020,11.9
9/28/2020,11.9
9/29/2020,11.85
9/30/2020,11.85
10/1/2020,11.8
10/2/2020,11.7
10/5/2020,11.7
10/6/2020,11.6
10/7/2020,11.55
10/8/2020,11.5
10/9/2020,11.5
10/12/2020,11.85
10/13/2020,11.9
10/14/2020,11.75
10/15/2020,11.9
10/16/2020,11.8
10/19/2020,11.85
10/21/2020,11.45
10/22/2020,11.45
10/23/2020,11.4
10/26/2020,11.45
10/27/2020,11.15
10/28/2020,11.15
10/29/2020,11.35
10/30/2020,11.3
11/2/2020,11.5
11/3/2020,11.55
11/4/2020,11.7
11/5/2020,11.5
11/6/2020,11.6
11/9/2020,11.4
11/10/2020,11.35
11/11/2020,11.4
11/12/2020,11.4
11/13/2020,11.4
11/16/2020,11.5
11/17/2020,11.5
11/18/2020,11.45
11/19/2020,11.65
11/20/2020,11.65
11/23/2020,11.5
11/24/2020,11.5
11/25/2020,11.65
11/26/2020,11.5
11/27/2020,11.6
11/30/2020,11.55
12/1/2020,11.55
12/2/2020,11.6
12/3/2020,11.65
12/4/2020,11.6
12/7/2020,11.65
12/8/2020,11.65
12/9/2020,11.55
12/10/2020,11.6
12/11/2020,11.7
12/14/2020,11.8
12/15/2020,11.7
12/16/2020,11.75
12/17/2020,11.7
12/18/2020,11.7
12/21/2020,11.75
12/22/2020,11.8
12/23/2020,11.85
12/24/2020,11.9
12/28/2020,11.9
12/29/2020,12
12/30/2020,12.1
12/31/2020,12.5
1/4/2021,12.55
1/5/2021,12.5
1/6/2021,12.6
1/7/2021,12.85
1/8/2021,13
1/11/2021,13.1
1/12/2021,13.15
1/13/2021,13.05
1/14/2021,12.95
1/15/2021,12.9
1/18/2021,13
1/19/2021,12.95
1/20/2021,12.85
1/21/2021,12.85
1/22/2021,12.6
1/25/2021,12.65
1/26/2021,12.7
1/27/2021,12.65
1/28/2021,12.6
1/29/2021,12.6
2/1/2021,12.5
2/2/2021,12.55
2/3/2021,12
2/4/2021,12
2/5/2021,12.2
2/8/2021,12.5
2/9/2021,12.5
2/10/2021,12.55
2/11/2021,12.7
2/12/2021,12.7
2/15/2021,12.6
2/16/2021,12.45
2/17/2021,12.45
2/18/2021,12.55
2/19/2021,12.8
2/22/2021,12.8
2/23/2021,12.8
2/24/2021,13
2/25/2021,12.9
2/26/2021,13.05
3/1/2021,13
3/2/2021,13.05
3/3/2021,13.05
3/4/2021,13.05
3/5/2021,13
3/8/2021,12.85
3/9/2021,12.65
3/10/2021,12.85
3/11/2021,12.9
3/12/2021,12.95
3/15/2021,12.85
3/16/2021,12.85
3/17/2021,12.8
3/18/2021,13.25
3/19/2021,13.9
3/22/2021,13.85
3/23/2021,13.7
3/24/2021,13.7
3/25/2021,13.55
3/26/2021,13.6
3/29/2021,13.15
3/30/2021,13.5
3/31/2021,13.2
4/1/2021,11.95
4/6/2021,11.95
4/7/2021,11.85
4/8/2021,11.9
4/9/2021,11.9
4/12/2021,11.85
4/13/2021,11.8
4/14/2021,11.8
4/15/2021,11.6
4/16/2021,11.8
4/19/2021,11.65
4/20/2021,11.65
4/21/2021,11.65
4/22/2021,11.7
4/23/2021,11.9
4/26/2021,11.9
4/27/2021,11.9
4/28/2021,12
4/29/2021,12
4/30/2021,12.2
5/3/2021,12.45
5/4/2021,12.45
5/5/2021,12.65
5/6/2021,12.65
5/7/2021,12.6
5/10/2021,12.55
5/11/2021,12.5
