Date, Close
8/26/2020,34.8
8/27/2020,36.45
8/28/2020,36.45
8/31/2020,36.65
9/1/2020,37
9/2/2020,37.1
9/3/2020,37.05
9/4/2020,35.65
9/7/2020,35
9/8/2020,35
9/9/2020,36
9/10/2020,36.9
9/11/2020,37
9/14/2020,36.85
9/15/2020,36.95
9/16/2020,36.95
9/17/2020,36.05
9/18/2020,36.15
9/21/2020,36
9/22/2020,36
9/23/2020,35.85
9/24/2020,35.65
9/25/2020,36.1
9/28/2020,37.35
9/29/2020,36.65
9/30/2020,36.7
10/1/2020,36.5
10/2/2020,35.95
10/5/2020,35.5
10/6/2020,35.5
10/7/2020,35
10/8/2020,34.1
10/9/2020,34.9
10/12/2020,35
10/13/2020,35
10/14/2020,35
10/15/2020,34.9
10/16/2020,34.95
10/19/2020,34.55
10/21/2020,34.55
10/22/2020,34.5
10/23/2020,34.35
10/26/2020,34.5
10/27/2020,34.4
10/28/2020,34.35
10/29/2020,34
10/30/2020,33.9
11/2/2020,33.35
11/3/2020,32.75
11/4/2020,32.8
11/5/2020,34.65
11/6/2020,35
11/9/2020,34.4
11/10/2020,35
11/11/2020,35.95
11/12/2020,36
11/13/2020,36.8
11/16/2020,36.75
11/17/2020,36.55
11/18/2020,36.3
11/19/2020,35.95
11/20/2020,35.35
11/23/2020,35.55
11/24/2020,35.65
11/25/2020,35.65
11/26/2020,35.55
11/27/2020,34.4
11/30/2020,34.6
12/1/2020,35.05
12/2/2020,35.3
12/3/2020,35.4
12/4/2020,35.05
12/7/2020,34.75
12/8/2020,34.7
12/9/2020,34.7
12/10/2020,34.7
12/11/2020,35
12/14/2020,35
12/15/2020,35
12/16/2020,34.65
12/17/2020,34
12/18/2020,34.55
12/21/2020,34.6
12/22/2020,34.6
12/23/2020,34.6
12/24/2020,34.65
12/28/2020,35
12/29/2020,35.1
12/30/2020,36.3
12/31/2020,36.55
1/4/2021,36.25
1/5/2021,36.05
1/6/2021,36
1/7/2021,36
1/8/2021,36
1/11/2021,36
1/12/2021,36.1
1/13/2021,36.7
1/14/2021,36.95
1/15/2021,36.9
1/18/2021,36.7
1/19/2021,36.55
1/20/2021,37.25
1/21/2021,37.15
1/22/2021,37.2
1/25/2021,36.85
1/26/2021,36.75
1/27/2021,36.75
1/28/2021,36.5
1/29/2021,36.5
2/1/2021,37.2
2/2/2021,37.25
2/3/2021,37.2
2/4/2021,37.2
2/5/2021,37.25
2/8/2021,37.05
2/9/2021,37.15
2/10/2021,37.5
2/11/2021,37.8
2/12/2021,37.85
2/15/2021,38
2/16/2021,39
2/17/2021,38.55
2/18/2021,38.35
2/19/2021,38.45
2/22/2021,38.2
2/23/2021,38.2
2/24/2021,37.95
2/25/2021,37.95
2/26/2021,37.9
3/1/2021,37.9
3/2/2021,38
3/3/2021,37.85
3/4/2021,37.85
3/5/2021,38.05
3/8/2021,38
3/9/2021,38.05
3/10/2021,38.65
3/11/2021,39.35
3/12/2021,40
3/15/2021,40
3/16/2021,40.05
3/17/2021,40.25
3/18/2021,41.75
3/19/2021,41.65
3/22/2021,41.4
3/23/2021,41.65
3/24/2021,42
3/25/2021,41.85
3/26/2021,41
3/29/2021,37.55
3/30/2021,37.95
3/31/2021,37.95
4/1/2021,39.05
4/6/2021,39
4/7/2021,38.3
4/8/2021,37.5
4/9/2021,37.7
4/12/2021,37.7
4/13/2021,38.05
4/14/2021,38.3
4/15/2021,38.55
4/16/2021,38.85
4/19/2021,38.8
4/20/2021,39.25
4/21/2021,39.25
4/22/2021,37.95
4/23/2021,39.1
4/26/2021,39.1
4/27/2021,39.15
4/28/2021,39.45
4/29/2021,39
4/30/2021,39.15
5/3/2021,39.3
5/4/2021,39.55
5/5/2021,39.85
5/6/2021,40.3
5/7/2021,40.75
5/10/2021,40.85
5/11/2021,41.05
5/12/2021,40.65
5/13/2021,40.95
5/17/2021,40.9
5/18/2021,40.95
5/19/2021,41.05
5/20/2021,41.05
5/21/2021,41.5
5/24/2021,42.45
5/25/2021,42.05
5/26/2021,43.55
5/27/2021,43.5
5/28/2021,43
5/31/2021,42.2
6/2/2021,42.7
6/3/2021,42.3
6/4/2021,42.85
6/7/2021,43
6/8/2021,43.95
6/9/2021,44
6/10/2021,44.15
6/11/2021,44.05
6/14/2021,43.9
6/15/2021,44.15
6/16/2021,44.1
6/17/2021,44.35
6/18/2021,44.75
6/21/2021,45.15
6/22/2021,45.55
6/23/2021,45.55
6/24/2021,45.7
6/25/2021,46.6
6/28/2021,46.65
6/29/2021,46.3
6/30/2021,44.75
7/1/2021,44.85
7/2/2021,46.7
7/5/2021,46.5
7/6/2021,46.8
7/7/2021,47.55
7/8/2021,49
7/9/2021,49
7/12/2021,48.65
7/13/2021,48
7/14/2021,48.1
7/15/2021,48.55
7/16/2021,48.55
7/19/2021,48.55
7/21/2021,48.3
7/22/2021,48
7/23/2021,47.85
7/26/2021,48.35
7/27/2021,48.5
7/28/2021,48.15
7/29/2021,49.1
7/30/2021,48.9
8/2/2021,48.9
8/3/2021,49
8/4/2021,49.1
8/5/2021,49.4
8/6/2021,50
8/9/2021,50.25
8/10/2021,50.25
8/11/2021,50.25
8/12/2021,50.25
8/13/2021,51
8/16/2021,51
8/17/2021,53
8/18/2021,54
